0,0
0.01,0
0.02,0
0.03,0
0.04,0
0.05,0
0.06,0.5060955692
0.07,2.322234743
0.08,4.055305816
0.09,6.023108209
0.1,7.344035131
0.11,8.537921912
0.12,9.233245026
0.13,10.17660037
0.14,10.77634399
0.15,11.62104452
0.16,12.2131618
0.17,12.67230688
0.18,12.93906513
0.19,13.30744046
0.2,13.54040012
0.21,13.92009842
0.22,14.28340177
0.23,14.53704952
0.24,14.63193788
0.25,14.8512941
0.26,14.91600048
0.27,14.98541705
0.28,15.17613425
0.29,15.17422277
0.3,14.78675645
0.31,14.39138325
0.32,13.85025997
0.33,13.29814322
0.34,12.55284618
0.35,11.54108996
0.36,10.45047376
0.37,9.660847486
0.38,8.814590042
0.39,8.127826861
0.4,7.40770095
0.41,6.547174586
0.42,5.591697926
0.43,4.916161673
0.44,4.190509184
0.45,3.632307197
0.46,3.060419884
0.47,2.468680473
0.48,1.674177232
0.49,1.148946325
0.5,0.4534713876
0.51,0.002233543603
0.52,0
0.53,0
0.54,0
0.55,0
0.56,0
0.57,0
0.58,0
0.59,0
0.6,0
0.61,0
0.62,0
0.63,0
0.64,0
0.65,0
0.66,0
0.67,0
0.68,0
0.69,0
0.7,0
